Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT220819C00240000,2022-02-25 2:59PM EST,240,63.8,63.4,66.3,6.88,12.09%,3,24,39.47%
MSFT220819C00245000,2022-02-23 12:32PM EST,245,53.2,59.15,61.65,0,-,3,47,37.70%
MSFT220819C00250000,2022-02-25 2:04PM EST,250,55.95,55.5,57.45,6.68,13.56%,1,161,36.66%
MSFT220819C00255000,2022-02-23 3:19PM EST,255,40.7,51.5,54.1,0,-,3,18,36.87%
MSFT220819C00260000,2022-02-25 11:12AM EST,260,47.97,47.85,49.6,12.56,35.47%,1,82,35.12%
MSFT220819C00265000,2022-02-24 10:32AM EST,265,34.85,44.1,46.45,0,-,1,75,35.28%
MSFT220819C00270000,2022-02-25 12:59PM EST,270,40.2,40.6,42.35,0.99,2.52%,5,178,33.89%
MSFT220819C00275000,2022-02-24 11:35AM EST,275,31,36.95,39.3,0,-,5,80,33.83%
MSFT220819C00280000,2022-02-24 3:59PM EST,280,33.43,33.55,35.45,0,-,69,144,32.52%
MSFT220819C00285000,2022-02-25 10:54AM EST,285,31.25,31.05,32.2,6.25,25.00%,7,312,31.86%
MSFT220819C00290000,2022-02-25 1:15PM EST,290,27.45,28.55,29.3,2.39,9.54%,70,809,31.46%
MSFT220819C00295000,2022-02-25 3:59PM EST,295,25.88,25.4,26.55,0.88,3.52%,9,165,31.07%
MSFT220819C00300000,2022-02-25 3:25PM EST,300,23.35,22.45,23.6,0.9,4.01%,51,481,30.26%
MSFT220819C00305000,2022-02-25 12:55PM EST,305,20.65,20.6,21.15,3.2,18.34%,33,506,29.87%
MSFT220819C00310000,2022-02-25 12:05PM EST,310,18.1,17.9,18.85,2.4,15.29%,3,515,29.47%
MSFT220819C00315000,2022-02-25 11:17AM EST,315,15.85,15.85,16.85,0.75,4.97%,27,555,29.25%
MSFT220819C00320000,2022-02-25 12:29PM EST,320,14.18,13.8,14.75,3.25,29.73%,65,430,28.71%
MSFT220819C00325000,2022-02-25 3:51PM EST,325,12.45,12.45,12.9,2.29,22.54%,65,375,28.30%
MSFT220819C00330000,2022-02-25 1:43PM EST,330,10.7,10.65,11.4,2.49,30.33%,26,312,28.15%
MSFT220819C00335000,2022-02-25 3:14PM EST,335,9.06,9.15,9.95,1.06,13.25%,2,553,27.88%
MSFT220819C00340000,2022-02-25 11:22AM EST,340,8.1,7.75,8.6,1.77,27.96%,13,130,27.55%
MSFT220819C00345000,2022-02-25 2:53PM EST,345,6.69,7,7.45,0.85,14.55%,657,414,27.33%
MSFT220819C00350000,2022-02-25 2:53PM EST,350,5.73,5.65,6.45,-0.12,-2.05%,621,421,27.16%
MSFT220819C00355000,2022-02-25 9:37AM EST,355,4.91,5,5.55,-0.09,-1.80%,1,200,26.98%
MSFT220819C00360000,2022-02-25 2:04PM EST,360,4.4,4.1,4.7,0.2,4.76%,125,264,26.69%
MSFT220819C00365000,2022-02-25 2:54PM EST,365,3.7,3.55,4.1,0.65,21.31%,25,76,26.72%
MSFT220819C00370000,2022-02-25 1:24PM EST,370,3.15,3.05,3.5,0.51,19.32%,339,737,26.58%