symbol,date,time,hour,minute,second,share_price
TSLA,2021-01-15,9:30:47,9,30,57,850.85
TSLA,2021-01-15,9:30:46,9,30,3,850.97
TSLA,2021-01-15,9:31:55,9,31,25,854.99
TSLA,2021-01-15,9:31:50,9,31,47,853.58
TSLA,2021-01-15,9:31:49,9,31,58,823.18
TSLA,2021-01-15,9:33:45,9,33,33,858.91
TSLA,2021-01-15,9:33:31,9,33,8,857.24
TSLA,2021-01-15,9:35:8,9,35,57,823.205
TSLA,2021-01-15,9:35:19,9,35,2,855.65
TSLA,2021-01-15,9:36:45,9,36,13,823.18
TSLA,2021-01-15,9:36:46,9,36,38,823.205
TSLA,2021-01-15,9:37:14,9,37,37,857.535
TSLA,2021-01-15,9:38:36,9,38,32,823.205
TSLA,2021-01-15,9:38:36,9,38,36,823.205
TSLA,2021-01-15,9:39:15,9,39,33,849
TSLA,2021-01-15,9:40:18,9,40,0,823.205
TSLA,2021-01-15,9:40:33,9,40,49,856.96
TSLA,2021-01-15,9:41:4,9,41,6,857.04
TSLA,2021-01-15,9:41:45,9,41,44,823.205
TSLA,2021-01-15,9:42:34,9,42,56,823.205
TSLA,2021-01-15,9:42:38,9,42,31,856.98
TSLA,2021-01-15,9:43:45,9,43,30,823.18
TSLA,2021-01-15,9:44:11,9,44,5,0
TSLA,2021-01-15,9:44:10,9,44,5,823.18
TSLA,2021-01-15,9:44:42,9,44,41,823.18
TSLA,2021-01-15,9:47:26,9,47,51,853.98
TSLA,2021-01-15,9:47:49,9,47,16,823.205
TSLA,2021-01-15,9:48:5,9,48,12,855.105
TSLA,2021-01-15,9:49:3,9,49,27,854.835
TSLA,2021-01-15,9:49:56,9,49,41,823.205
TSLA,2021-01-15,9:50:0,9,50,26,855.915
TSLA,2021-01-15,9:51:51,9,51,11,823.18
TSLA,2021-01-15,9:52:21,9,52,31,857.44
TSLA,2021-01-15,9:52:16,9,52,35,823.205
TSLA,2021-01-15,9:53:24,9,53,59,0
TSLA,2021-01-15,9:53:56,9,53,32,823.205
TSLA,2021-01-15,9:53:1,9,53,22,857.4
TSLA,2021-01-15,9:54:37,9,54,37,823.205
TSLA,2021-01-15,9:55:44,9,55,22,823.205
TSLA,2021-01-15,9:55:48,9,55,34,823.205
TSLA,2021-01-15,9:56:48,9,56,20,853.775
TSLA,2021-01-15,9:57:20,9,57,4,823.205
TSLA,2021-01-15,9:59:31,9,59,24,823.18
TSLA,2021-01-15,9:59:41,9,59,58,823.18
TSLA,2021-01-15,10:0:50,10,0,52,855.165
TSLA,2021-01-15,10:0:58,10,0,58,823.205
TSLA,2021-01-15,10:0:16,10,0,58,823.205
TSLA,2021-01-15,10:1:1,10,1,5,852.32
TSLA,2021-01-15,10:1:0,10,1,39,823.205
TSLA,2021-01-15,10:1:15,10,1,16,850.905
TSLA,2021-01-15,10:2:16,10,2,10,823.205
TSLA,2021-01-15,10:3:33,10,3,36,823.18
TSLA,2021-01-15,10:3:53,10,3,47,823.18
TSLA,2021-01-15,10:4:48,10,4,10,849.325
TSLA,2021-01-15,10:4:6,10,4,35,823.18
TSLA,2021-01-15,10:4:7,10,4,58,848.76
TSLA,2021-01-15,10:5:32,10,5,9,823.18
TSLA,2021-01-15,10:6:57,10,6,31,823.18
TSLA,2021-01-15,10:6:42,10,6,3,847.37
TSLA,2021-01-15,10:6:59,10,6,6,823.205
TSLA,2021-01-15,10:7:47,10,7,12,843.09
TSLA,2021-01-15,10:7:36,10,7,33,823.205
TSLA,2021-01-15,10:9:10,10,9,51,842.3
TSLA,2021-01-15,10:9:48,10,9,22,840.29
TSLA,2021-01-15,10:10:58,10,10,2,840
TSLA,2021-01-15,10:10:49,10,10,43,823.205
TSLA,2021-01-15,10:11:44,10,11,44,843.21
TSLA,2021-01-15,10:12:59,10,12,29,823.205
TSLA,2021-01-15,10:13:59,10,13,34,823.205
TSLA,2021-01-15,10:13:51,10,13,24,842.98
TSLA,2021-01-15,10:13:10,10,13,11,823.205
TSLA,2021-01-15,10:14:32,10,14,2,842.125
TSLA,2021-01-15,10:14:6,10,14,46,843.06
TSLA,2021-01-15,10:14:2,10,14,43,843.07
TSLA,2021-01-15,10:15:52,10,15,43,823.205
TSLA,2021-01-15,10:16:47,10,16,5,845.37
TSLA,2021-01-15,10:18:14,10,18,42,842.265
TSLA,2021-01-15,10:18:37,10,18,43,823.205
TSLA,2021-01-15,10:19:56,10,19,4,823.205
TSLA,2021-01-15,10:20:10,10,20,11,838.51
TSLA,2021-01-15,10:20:18,10,20,33,823.205
TSLA,2021-01-15,10:22:48,10,22,4,823.205
TSLA,2021-01-15,10:23:11,10,23,41,823.18
TSLA,2021-01-15,10:24:53,10,24,0,837.95
TSLA,2021-01-15,10:24:20,10,24,17,840
TSLA,2021-01-15,10:25:13,10,25,6,837.21
TSLA,2021-01-15,10:25:11,10,25,14,837.86
TSLA,2021-01-15,10:26:34,10,26,12,823.205
TSLA,2021-01-15,10:26:1,10,26,24,823.18
TSLA,2021-01-15,10:27:42,10,27,14,823.205
TSLA,2021-01-15,10:27:11,10,27,23,823.205
TSLA,2021-01-15,10:27:54,10,27,29,823.205
TSLA,2021-01-15,10:28:53,10,28,59,823.18
TSLA,2021-01-15,10:29:16,10,29,26,823.205
TSLA,2021-01-15,10:30:56,10,30,5,823.205
TSLA,2021-01-15,10:30:18,10,30,49,843.075
TSLA,2021-01-15,10:31:59,10,31,5,823.205
TSLA,2021-01-15,10:31:13,10,31,47,843.98
TSLA,2021-01-15,10:32:29,10,32,30,823.205
TSLA,2021-01-15,10:33:57,10,33,39,823.205
TSLA,2021-01-15,10:33:35,10,33,26,845.235
TSLA,2021-01-15,10:34:17,10,34,51,823.205
TSLA,2021-01-15,10:36:20,10,36,30,823.205
TSLA,2021-01-15,10:39:44,10,39,6,841.98
TSLA,2021-01-15,10:39:25,10,39,50,823.205
TSLA,2021-01-15,10:40:43,10,40,42,823.205
TSLA,2021-01-15,10:41:48,10,41,51,823.205
TSLA,2021-01-15,10:42:47,10,42,32,823.18
TSLA,2021-01-15,10:43:34,10,43,43,823.205
TSLA,2021-01-15,10:44:13,10,44,12,842.67
TSLA,2021-01-15,10:45:45,10,45,32,823.18
TSLA,2021-01-15,10:46:10,10,46,9,823.18
TSLA,2021-01-15,10:46:49,10,46,10,840.1
TSLA,2021-01-15,10:46:29,10,46,29,840.01
TSLA,2021-01-15,10:48:19,10,48,59,839.59
TSLA,2021-01-15,10:49:58,10,49,22,823.18
TSLA,2021-01-15,10:51:14,10,51,54,840.85
TSLA,2021-01-15,10:53:23,10,53,28,823.205
TSLA,2021-01-15,10:54:16,10,54,8,823.205
TSLA,2021-01-15,10:54:47,10,54,25,823.205
TSLA,2021-01-15,10:55:47,10,55,18,823.205
TSLA,2021-01-15,10:56:31,10,56,53,823.205
TSLA,2021-01-15,10:56:43,10,56,54,823.205
TSLA,2021-01-15,10:57:37,10,57,16,823.18
TSLA,2021-01-15,10:57:33,10,57,31,823.205
TSLA,2021-01-15,10:58:6,10,58,39,841.19
TSLA,2021-01-15,10:58:45,10,58,14,823.205
TSLA,2021-01-15,10:59:7,10,59,37,842.39
TSLA,2021-01-15,9:30:1,9,30,15,823.18
TSLA,2021-01-15,9:30:30,9,30,30,852.135
TSLA,2021-01-15,9:31:49,9,31,2,823.205
TSLA,2021-01-15,9:31:32,9,31,41,823.205
TSLA,2021-01-15,9:32:14,9,32,16,823.205
TSLA,2021-01-15,9:33:45,9,33,42,856.67
TSLA,2021-01-15,9:34:57,9,34,0,823.18
TSLA,2021-01-15,9:35:13,9,35,14,855.84
TSLA,2021-01-15,9:35:26,9,35,29,855.9365
TSLA,2021-01-15,9:36:47,9,36,9,823.205
TSLA,2021-01-15,9:36:0,9,36,13,823.205
TSLA,2021-01-15,9:38:3,9,38,28,857.385
TSLA,2021-01-15,9:38:58,9,38,0,823.205
TSLA,2021-01-15,9:39:46,9,39,48,823.205
TSLA,2021-01-15,9:39:57,9,39,49,823.205
TSLA,2021-01-15,9:40:7,9,40,36,823.205
TSLA,2021-01-15,9:41:19,9,41,3,823.205
TSLA,2021-01-15,9:41:58,9,41,40,855.14
TSLA,2021-01-15,9:41:8,9,41,29,855.445
TSLA,2021-01-15,9:42:23,9,42,5,823.205
TSLA,2021-01-15,9:43:14,9,43,48,857.22
TSLA,2021-01-15,9:44:10,9,44,57,856.815
TSLA,2021-01-15,9:44:18,9,44,52,823.18
TSLA,2021-01-15,9:44:36,9,44,17,854.93
TSLA,2021-01-15,9:46:56,9,46,39,854.84
TSLA,2021-01-15,9:47:57,9,47,50,823.205
TSLA,2021-01-15,9:47:11,9,47,21,823.18
TSLA,2021-01-15,9:49:4,9,49,21,823.18
TSLA,2021-01-15,9:49:7,9,49,37,823.18
TSLA,2021-01-15,9:50:6,9,50,56,823.205
TSLA,2021-01-15,9:51:8,9,51,18,857.425
TSLA,2021-01-15,9:51:9,9,51,42,823.205
TSLA,2021-01-15,9:52:28,9,52,3,857.2
TSLA,2021-01-15,9:52:5,9,52,57,856.68
TSLA,2021-01-15,9:53:27,9,53,47,857.43
TSLA,2021-01-15,9:53:25,9,53,59,823.205
TSLA,2021-01-15,9:54:17,9,54,41,823.205
TSLA,2021-01-15,9:55:56,9,55,28,823.205
TSLA,2021-01-15,9:55:30,9,55,8,856.81
TSLA,2021-01-15,9:56:19,9,56,49,0
TSLA,2021-01-15,9:56:46,9,56,21,823.205
TSLA,2021-01-15,9:58:2,9,58,51,823.205
TSLA,2021-01-15,9:59:37,9,59,26,854.11
TSLA,2021-01-15,10:0:36,10,0,5,823.205
TSLA,2021-01-15,10:0:9,10,0,48,851
TSLA,2021-01-15,10:0:24,10,0,18,823.205
TSLA,2021-01-15,10:0:10,10,0,40,823.18
TSLA,2021-01-15,10:1:23,10,1,27,0
TSLA,2021-01-15,10:1:51,10,1,51,823.205
TSLA,2021-01-15,10:2:12,10,2,9,848.755
TSLA,2021-01-15,10:2:2,10,2,7,823.205
TSLA,2021-01-15,10:3:47,10,3,4,823.205
TSLA,2021-01-15,10:4:37,10,4,22,823.205
TSLA,2021-01-15,10:4:17,10,4,10,823.205
TSLA,2021-01-15,10:4:7,10,4,16,823.18
TSLA,2021-01-15,10:5:25,10,5,41,849.255
TSLA,2021-01-15,10:5:47,10,5,1,848.41
TSLA,2021-01-15,10:6:56,10,6,57,823.205
TSLA,2021-01-15,10:6:15,10,6,35,847.18
TSLA,2021-01-15,10:7:31,10,7,17,823.205
TSLA,2021-01-15,10:7:50,10,7,21,823.205
TSLA,2021-01-15,10:8:9,10,8,14,823.205
TSLA,2021-01-15,10:9:36,10,9,59,823.205
TSLA,2021-01-15,10:9:35,10,9,53,823.18
TSLA,2021-01-15,10:10:30,10,10,4,823.205
TSLA,2021-01-15,10:10:46,10,10,21,823.205
TSLA,2021-01-15,10:11:13,10,11,35,842.925
TSLA,2021-01-15,10:12:41,10,12,18,842.6
TSLA,2021-01-15,10:13:3,10,13,35,823.205
TSLA,2021-01-15,10:13:35,10,13,17,823.205
TSLA,2021-01-15,10:13:7,10,13,58,841.245
TSLA,2021-01-15,10:14:19,10,14,38,823.205
TSLA,2021-01-15,10:14:49,10,14,27,823.18
TSLA,2021-01-15,10:15:36,10,15,37,843.59
TSLA,2021-01-15,10:15:49,10,15,39,845.62
TSLA,2021-01-15,10:17:38,10,17,13,823.205
TSLA,2021-01-15,10:18:51,10,18,24,823.205
TSLA,2021-01-15,10:18:23,10,18,58,839.99
TSLA,2021-01-15,10:19:28,10,19,3,836.84
TSLA,2021-01-15,10:20:29,10,20,47,823.205
TSLA,2021-01-15,10:22:7,10,22,35,823.18
TSLA,2021-01-15,10:22:50,10,22,28,837.62
TSLA,2021-01-15,10:23:52,10,23,29,836.485
TSLA,2021-01-15,10:24:4,10,24,2,838.19
TSLA,2021-01-15,10:24:38,10,24,13,823.205
TSLA,2021-01-15,10:25:25,10,25,51,823.205
TSLA,2021-01-15,10:26:38,10,26,49,841.65
TSLA,2021-01-15,10:26:45,10,26,48,841.83
TSLA,2021-01-15,10:26:12,10,26,49,840
TSLA,2021-01-15,10:27:31,10,27,43,842
TSLA,2021-01-15,10:27:49,10,27,44,842.46
TSLA,2021-01-15,10:28:25,10,28,5,840.95
TSLA,2021-01-15,10:29:6,10,29,1,823.205
TSLA,2021-01-15,10:29:41,10,29,46,843.67
TSLA,2021-01-15,10:30:53,10,30,15,823.205
TSLA,2021-01-15,10:31:38,10,31,30,823.205
TSLA,2021-01-15,10:31:27,10,31,20,842.84
TSLA,2021-01-15,10:32:26,10,32,57,823.205
TSLA,2021-01-15,10:32:24,10,32,27,823.18
TSLA,2021-01-15,10:33:19,10,33,45,840
TSLA,2021-01-15,10:34:13,10,34,41,823.205
TSLA,2021-01-15,10:36:37,10,36,39,823.205
TSLA,2021-01-15,10:37:14,10,37,55,843.295
TSLA,2021-01-15,10:39:5,10,39,27,842.43
TSLA,2021-01-15,10:40:54,10,40,56,823.18
TSLA,2021-01-15,10:41:26,10,41,33,0
TSLA,2021-01-15,10:41:0,10,41,11,843.42
TSLA,2021-01-15,10:43:23,10,43,10,823.205
TSLA,2021-01-15,10:44:25,10,44,49,823.18
TSLA,2021-01-15,10:44:18,10,44,44,0
TSLA,2021-01-15,10:45:2,10,45,26,823.205
TSLA,2021-01-15,10:46:35,10,46,44,823.205
TSLA,2021-01-15,10:46:57,10,46,6,839.67
TSLA,2021-01-15,10:48:4,10,48,17,823.205
TSLA,2021-01-15,10:49:19,10,49,31,823.205
TSLA,2021-01-15,10:50:3,10,50,15,839.9
TSLA,2021-01-15,10:52:45,10,52,24,823.205
TSLA,2021-01-15,10:54:49,10,54,52,823.18
TSLA,2021-01-15,10:54:36,10,54,58,823.18
TSLA,2021-01-15,10:54:28,10,54,30,823.205
TSLA,2021-01-15,10:55:49,10,55,44,840.58
TSLA,2021-01-15,10:56:49,10,56,18,823.205
TSLA,2021-01-15,10:57:22,10,57,6,823.18
TSLA,2021-01-15,10:57:24,10,57,58,823.205
TSLA,2021-01-15,10:57:44,10,57,49,823.18
TSLA,2021-01-15,10:58:39,10,58,30,841.239
TSLA,2021-01-15,10:59:29,10,59,19,841.5
TSLA,2021-01-15,10:59:6,10,59,0,841.8